Number of objects=129
        [id=74, value=139, weight=39]
        [id=14, value=165, weight=65]
        [id=15, value=330, weight=130]
        [id=16, value=495, weight=195]
        [id=17, value=176, weight=76]
        [id=155, value=220, weight=120]
        [id=156, value=440, weight=240]
        [id=157, value=660, weight=360]
        [id=81, value=231, weight=131]
        [id=82, value=462, weight=262]
        [id=83, value=924, weight=524]
        [id=44, value=232, weight=132]
        [id=45, value=464, weight=264]
        [id=46, value=928, weight=528]
        [id=47, value=464, weight=264]
        [id=66, value=232, weight=132]
        [id=67, value=464, weight=264]
        [id=68, value=696, weight=396]
        [id=137, value=258, weight=158]
        [id=138, value=258, weight=158]
        [id=75, value=297, weight=197]
        [id=151, value=300, weight=200]
        [id=152, value=600, weight=400]
        [id=161, value=303, weight=203]
        [id=162, value=606, weight=406]
        [id=163, value=606, weight=406]
        [id=176, value=303, weight=203]
        [id=177, value=606, weight=406]
        [id=178, value=909, weight=609]
        [id=143, value=304, weight=204]
        [id=144, value=608, weight=408]
        [id=145, value=1216, weight=816]
        [id=146, value=912, weight=612]
        [id=129, value=365, weight=265]
        [id=130, value=365, weight=265]
        [id=126, value=437, weight=337]
        [id=127, value=874, weight=674]
        [id=128, value=437, weight=337]
        [id=58, value=456, weight=356]
        [id=59, value=912, weight=712]
        [id=78, value=461, weight=361]
        [id=79, value=922, weight=722]
        [id=80, value=461, weight=361]
        [id=48, value=472, weight=372]
        [id=49, value=944, weight=744]
        [id=6, value=517, weight=417]
        [id=7, value=1034, weight=834]
        [id=8, value=2068, weight=1668]
        [id=9, value=1034, weight=834]
        [id=183, value=522, weight=422]
        [id=184, value=1044, weight=844]
        [id=185, value=2088, weight=1688]
        [id=186, value=1044, weight=844]
        [id=93, value=524, weight=424]
        [id=94, value=1048, weight=848]
        [id=95, value=1572, weight=1272]
        [id=174, value=543, weight=443]
        [id=175, value=543, weight=443]
        [id=90, value=575, weight=475]
        [id=91, value=1150, weight=950]
        [id=92, value=2300, weight=1900]
        [id=147, value=575, weight=475]
        [id=148, value=1150, weight=950]
        [id=149, value=2300, weight=1900]
        [id=150, value=1725, weight=1425]
        [id=119, value=586, weight=486]
        [id=120, value=1172, weight=972]
        [id=121, value=1758, weight=1458]
        [id=76, value=602, weight=502]
        [id=77, value=602, weight=502]
        [id=10, value=630, weight=530]
        [id=11, value=1260, weight=1060]
        [id=12, value=1260, weight=1060]
        [id=33, value=639, weight=539]
        [id=34, value=1278, weight=1078]
        [id=35, value=2556, weight=2156]
        [id=36, value=1917, weight=1617]
        [id=60, value=651, weight=551]
        [id=61, value=1302, weight=1102]
        [id=62, value=1953, weight=1653]
        [id=18, value=663, weight=563]
        [id=19, value=1326, weight=1126]
        [id=20, value=1326, weight=1126]
        [id=28, value=663, weight=563]
        [id=29, value=1326, weight=1126]
        [id=30, value=1989, weight=1689]
        [id=172, value=686, weight=586]
        [id=173, value=1372, weight=1172]
        [id=50, value=691, weight=591]
        [id=51, value=1382, weight=1182]
        [id=52, value=2764, weight=2364]
        [id=115, value=697, weight=597]
        [id=116, value=1394, weight=1194]
        [id=117, value=2788, weight=2388]
        [id=118, value=697, weight=597]
        [id=187, value=703, weight=603]
        [id=188, value=1406, weight=1206]
        [id=189, value=2812, weight=2412]
        [id=190, value=2109, weight=1809]
        [id=63, value=711, weight=611]
        [id=64, value=1422, weight=1222]
        [id=122, value=734, weight=634]
        [id=123, value=1468, weight=1268]
        [id=124, value=2936, weight=2536]
        [id=125, value=734, weight=634]
        [id=195, value=753, weight=653]
        [id=196, value=1506, weight=1306]
        [id=197, value=3012, weight=2612]
        [id=198, value=2259, weight=1959]
        [id=109, value=770, weight=670]
        [id=110, value=1540, weight=1340]
        [id=111, value=3080, weight=2680]
        [id=164, value=789, weight=689]
        [id=165, value=789, weight=689]
        [id=131, value=794, weight=694]
        [id=132, value=1588, weight=1388]
        [id=133, value=2382, weight=2082]
        [id=199, value=801, weight=701]
        [id=200, value=1602, weight=1402]
        [id=24, value=829, weight=729]
        [id=25, value=1658, weight=1458]
        [id=26, value=3316, weight=2916]
        [id=27, value=829, weight=729]
        [id=166, value=832, weight=732]
        [id=167, value=1664, weight=1464]
        [id=1, value=835, weight=735]
        [id=2, value=1670, weight=1470]
        [id=3, value=3340, weight=2940]
        [id=169, value=851, weight=751]
Value=136724
Weight=111924
Execution Time:4777744 ns
