Number of objects=50
        [id=73, value=4116, weight=3716]
        [id=193, value=4084, weight=3684]
        [id=160, value=3832, weight=3432]
        [id=101, value=3648, weight=3248]
        [id=141, value=3628, weight=3228]
        [id=39, value=3580, weight=3180]
        [id=42, value=3552, weight=3152]
        [id=181, value=3456, weight=3056]
        [id=171, value=3404, weight=3004]
        [id=3, value=3340, weight=2940]
        [id=26, value=3316, weight=2916]
        [id=105, value=3285, weight=2985]
        [id=111, value=3080, weight=2680]
        [id=197, value=3012, weight=2612]
        [id=23, value=2952, weight=2652]
        [id=124, value=2936, weight=2536]
        [id=189, value=2812, weight=2412]
        [id=117, value=2788, weight=2388]
        [id=52, value=2764, weight=2364]
        [id=102, value=2736, weight=2436]
        [id=142, value=2721, weight=2421]
        [id=43, value=2664, weight=2364]
        [id=89, value=2664, weight=2364]
        [id=35, value=2556, weight=2156]
        [id=133, value=2382, weight=2082]
        [id=92, value=2300, weight=1900]
        [id=149, value=2300, weight=1900]
        [id=198, value=2259, weight=1959]
        [id=104, value=2190, weight=1990]
        [id=97, value=2126, weight=1926]
        [id=56, value=2114, weight=1914]
        [id=57, value=2114, weight=1914]
        [id=190, value=2109, weight=1809]
        [id=185, value=2088, weight=1688]
        [id=107, value=2084, weight=1884]
        [id=108, value=2084, weight=1884]
        [id=8, value=2068, weight=1668]
        [id=72, value=2058, weight=1858]
        [id=192, value=2042, weight=1842]
        [id=194, value=2042, weight=1842]
        [id=30, value=1989, weight=1689]
        [id=135, value=1974, weight=1774]
        [id=136, value=1974, weight=1774]
        [id=22, value=1968, weight=1768]
        [id=154, value=1958, weight=1758]
        [id=62, value=1953, weight=1653]
        [id=113, value=1946, weight=1746]
        [id=36, value=1917, weight=1617]
        [id=145, value=1216, weight=816]
        [id=14, value=165, weight=65]
Value=128346
Weight=112646
Execution Time:3655154 ns
