Number of objects=150
        [id=74, value=139, weight=39]
        [id=14, value=165, weight=65]
        [id=17, value=176, weight=76]
        [id=155, value=220, weight=120]
        [id=15, value=330, weight=130]
        [id=81, value=231, weight=131]
        [id=44, value=232, weight=132]
        [id=66, value=232, weight=132]
        [id=137, value=258, weight=158]
        [id=138, value=258, weight=158]
        [id=16, value=495, weight=195]
        [id=75, value=297, weight=197]
        [id=151, value=300, weight=200]
        [id=161, value=303, weight=203]
        [id=176, value=303, weight=203]
        [id=143, value=304, weight=204]
        [id=156, value=440, weight=240]
        [id=82, value=462, weight=262]
        [id=45, value=464, weight=264]
        [id=47, value=464, weight=264]
        [id=67, value=464, weight=264]
        [id=129, value=365, weight=265]
        [id=130, value=365, weight=265]
        [id=126, value=437, weight=337]
        [id=128, value=437, weight=337]
        [id=58, value=456, weight=356]
        [id=157, value=660, weight=360]
        [id=78, value=461, weight=361]
        [id=80, value=461, weight=361]
        [id=48, value=472, weight=372]
        [id=68, value=696, weight=396]
        [id=152, value=600, weight=400]
        [id=162, value=606, weight=406]
        [id=163, value=606, weight=406]
        [id=177, value=606, weight=406]
        [id=144, value=608, weight=408]
        [id=6, value=517, weight=417]
        [id=183, value=522, weight=422]
        [id=93, value=524, weight=424]
        [id=174, value=543, weight=443]
        [id=175, value=543, weight=443]
        [id=90, value=575, weight=475]
        [id=147, value=575, weight=475]
        [id=119, value=586, weight=486]
        [id=76, value=602, weight=502]
        [id=77, value=602, weight=502]
        [id=83, value=924, weight=524]
        [id=46, value=928, weight=528]
        [id=10, value=630, weight=530]
        [id=33, value=639, weight=539]
        [id=60, value=651, weight=551]
        [id=18, value=663, weight=563]
        [id=28, value=663, weight=563]
        [id=172, value=686, weight=586]
        [id=50, value=691, weight=591]
        [id=115, value=697, weight=597]
        [id=118, value=697, weight=597]
        [id=187, value=703, weight=603]
        [id=178, value=909, weight=609]
        [id=63, value=711, weight=611]
        [id=146, value=912, weight=612]
        [id=122, value=734, weight=634]
        [id=125, value=734, weight=634]
        [id=195, value=753, weight=653]
        [id=109, value=770, weight=670]
        [id=127, value=874, weight=674]
        [id=164, value=789, weight=689]
        [id=165, value=789, weight=689]
        [id=131, value=794, weight=694]
        [id=199, value=801, weight=701]
        [id=59, value=912, weight=712]
        [id=79, value=922, weight=722]
        [id=24, value=829, weight=729]
        [id=27, value=829, weight=729]
        [id=166, value=832, weight=732]
        [id=1, value=835, weight=735]
        [id=49, value=944, weight=744]
        [id=169, value=851, weight=751]
        [id=179, value=864, weight=764]
        [id=182, value=864, weight=764]
        [id=40, value=888, weight=788]
        [id=87, value=888, weight=788]
        [id=37, value=895, weight=795]
        [id=84, value=895, weight=795]
        [id=139, value=907, weight=807]
        [id=99, value=912, weight=812]
        [id=145, value=1216, weight=816]
        [id=7, value=1034, weight=834]
        [id=9, value=1034, weight=834]
        [id=184, value=1044, weight=844]
        [id=186, value=1044, weight=844]
        [id=94, value=1048, weight=848]
        [id=158, value=958, weight=858]
        [id=112, value=973, weight=873]
        [id=153, value=979, weight=879]
        [id=168, value=982, weight=882]
        [id=21, value=984, weight=884]
        [id=134, value=987, weight=887]
        [id=114, value=1017, weight=917]
        [id=191, value=1021, weight=921]
        [id=71, value=1029, weight=929]
        [id=65, value=1042, weight=942]
        [id=106, value=1042, weight=942]
        [id=91, value=1150, weight=950]
        [id=148, value=1150, weight=950]
        [id=53, value=1052, weight=952]
        [id=54, value=1052, weight=952]
        [id=55, value=1057, weight=957]
        [id=96, value=1063, weight=963]
        [id=98, value=1063, weight=963]
        [id=13, value=1071, weight=971]
        [id=120, value=1172, weight=972]
        [id=31, value=1086, weight=986]
        [id=32, value=1086, weight=986]
        [id=4, value=1087, weight=987]
        [id=5, value=1087, weight=987]
        [id=103, value=1095, weight=995]
        [id=69, value=1099, weight=999]
        [id=70, value=1099, weight=999]
        [id=11, value=1260, weight=1060]
        [id=12, value=1260, weight=1060]
        [id=34, value=1278, weight=1078]
        [id=61, value=1302, weight=1102]
        [id=19, value=1326, weight=1126]
        [id=20, value=1326, weight=1126]
        [id=29, value=1326, weight=1126]
        [id=173, value=1372, weight=1172]
        [id=51, value=1382, weight=1182]
        [id=116, value=1394, weight=1194]
        [id=188, value=1406, weight=1206]
        [id=64, value=1422, weight=1222]
        [id=123, value=1468, weight=1268]
        [id=95, value=1572, weight=1272]
        [id=196, value=1506, weight=1306]
        [id=110, value=1540, weight=1340]
        [id=132, value=1588, weight=1388]
        [id=200, value=1602, weight=1402]
        [id=150, value=1725, weight=1425]
        [id=25, value=1658, weight=1458]
        [id=121, value=1758, weight=1458]
        [id=167, value=1664, weight=1464]
        [id=2, value=1670, weight=1470]
        [id=170, value=1702, weight=1502]
        [id=180, value=1728, weight=1528]
        [id=41, value=1776, weight=1576]
        [id=88, value=1776, weight=1576]
        [id=38, value=1790, weight=1590]
        [id=85, value=1790, weight=1590]
        [id=86, value=1790, weight=1590]
        [id=140, value=1814, weight=1614]
Value=135045
Weight=112445
Execution Time:3678247 ns
