================== Backpack PROBLEM - INPUT ====================
Number of objects=200
        [id=1, value=835, weight=735]
        [id=2, value=1670, weight=1470]
        [id=3, value=3340, weight=2940]
        [id=4, value=1087, weight=987]
        [id=5, value=1087, weight=987]
        [id=6, value=517, weight=417]
        [id=7, value=1034, weight=834]
        [id=8, value=2068, weight=1668]
        [id=9, value=1034, weight=834]
        [id=10, value=630, weight=530]
        [id=11, value=1260, weight=1060]
        [id=12, value=1260, weight=1060]
        [id=13, value=1071, weight=971]
        [id=14, value=165, weight=65]
        [id=15, value=330, weight=130]
        [id=16, value=495, weight=195]
        [id=17, value=176, weight=76]
        [id=18, value=663, weight=563]
        [id=19, value=1326, weight=1126]
        [id=20, value=1326, weight=1126]
        [id=21, value=984, weight=884]
        [id=22, value=1968, weight=1768]
        [id=23, value=2952, weight=2652]
        [id=24, value=829, weight=729]
        [id=25, value=1658, weight=1458]
        [id=26, value=3316, weight=2916]
        [id=27, value=829, weight=729]
        [id=28, value=663, weight=563]
        [id=29, value=1326, weight=1126]
        [id=30, value=1989, weight=1689]
        [id=31, value=1086, weight=986]
        [id=32, value=1086, weight=986]
        [id=33, value=639, weight=539]
        [id=34, value=1278, weight=1078]
        [id=35, value=2556, weight=2156]
        [id=36, value=1917, weight=1617]
        [id=37, value=895, weight=795]
        [id=38, value=1790, weight=1590]
        [id=39, value=3580, weight=3180]
        [id=40, value=888, weight=788]
        [id=41, value=1776, weight=1576]
        [id=42, value=3552, weight=3152]
        [id=43, value=2664, weight=2364]
        [id=44, value=232, weight=132]
        [id=45, value=464, weight=264]
        [id=46, value=928, weight=528]
        [id=47, value=464, weight=264]
        [id=48, value=472, weight=372]
        [id=49, value=944, weight=744]
        [id=50, value=691, weight=591]
        [id=51, value=1382, weight=1182]
        [id=52, value=2764, weight=2364]
        [id=53, value=1052, weight=952]
        [id=54, value=1052, weight=952]
        [id=55, value=1057, weight=957]
        [id=56, value=2114, weight=1914]
        [id=57, value=2114, weight=1914]
        [id=58, value=456, weight=356]
        [id=59, value=912, weight=712]
        [id=60, value=651, weight=551]
        [id=61, value=1302, weight=1102]
        [id=62, value=1953, weight=1653]
        [id=63, value=711, weight=611]
        [id=64, value=1422, weight=1222]
        [id=65, value=1042, weight=942]
